username,sam,password,role
Adam James,adam,BRIGHT-LONE-peru-found,CTO
Chen Xiaolong,chen,VENUS-loud-beauty-worth,Senior Investigator
Perry Gardner,perry,HELD-NEEDLE-burning-cuba,Senior Investigator
Auguste Poe,poe,DENMARK-THROWN-some-gentle,Senior Investigator
John Rankin,john,THICK-GROW-LISTEN-SWEET,Auditor
Hercule Christie,hercule,SWEDEN-provide-pattern-know,Auditor
Dirk Adams,dirk,BIRDS-THREW-JULY-HONOR,Auditor
Mike Spillane,mike,ONLY-hunger-must-DECEMBER,Auditor
Sam Hammett,sam,Passw0rd,Friend
